NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,POPEST2019_CIV,POPEST2020_CIV
USA,T,72,1864324,1883723,1911797,1980840,2045368,2191830,2464193,2366033,2391762,2387143,3191829,3017173
USA,T,73,1737022,1750230,1839650,1868580,1935290,2000206,2141679,2410060,2313395,2338608,2334191,3117385
USA,T,74,1684563,1685941,1705172,1794041,1821192,1888259,1950011,2090106,2351500,2256938,2282672,2274412
USA,T,75,1620158,1631850,1638416,1658797,1744115,1772510,1836257,1898429,2034126,2288559,2197748,2219565
USA,T,76,1471157,1481683,1581271,1589343,1608013,1693003,1718782,1782780,1842540,1974067,2222302,2130427
USA,T,77,1455414,1449166,1430842,1529155,1535726,1555999,1636558,1663622,1725115,1782832,1910947,2147097
USA,T,78,1400205,1402200,1394653,1378612,1472255,1480786,1498697,1578783,1604246,1663683,1720403,1839828
USA,T,79,1371312,1354930,1343895,1338619,1321687,1414075,1420533,1440113,1516665,1541038,1599424,1649916
USA,T,80,1308608,1319720,1292585,1283898,1277632,1263607,1350403,1358909,1377172,1450531,1474935,1526957
USA,T,81,1212976,1212523,1252424,1228498,1218844,1215729,1200285,1285388,1292841,1310292,1381382,1400392
USA,T,82,1161546,1158187,1143577,1183577,1159181,1152982,1148211,1135666,1215835,1222929,1240760,1303809
USA,T,83,1074941,1081228,1084670,1073222,1109146,1089142,1081259,1079613,1066869,1142652,1150775,1163249
USA,T,84,985854,986815,1004524,1010063,997537,1034488,1013571,1009041,1007070,994990,1067248,1070307
USA,T,85,5495003,5543516,5697459,5865164,5993714,6133246,6263096,6383008,6468926,6538026,6599467,6658420
USA,T,999,307528001,308091904,310365831,312637503,314817379,317160398,319542480,321869270,323931513,325651278,327143032,328297202
USA,M,0,2014278,2018516,2028518,2007826,2009790,2024604,2037728,2026072,1985633,1955778,1921001,1908141
USA,M,1,2030861,2020320,2025565,2035547,2016044,2018835,2034037,2047270,2035250,1993267,1963261,1926654
USA,M,2,2092202,2088642,2026825,2031978,2042931,2024415,2028128,2043478,2056068,2042649,2000102,1968545
USA,M,3,2104555,2101237,2094203,2032318,2038041,2050238,2032589,2036834,2051634,2062901,2048651,2004835
